# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-03-22 22:09:17-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/goa_human.gaf.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:26-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: hgnc_symbol
#   coverage: 99.8%
# size of "genespace": 2326
# number of attributes: 10840
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	LONP1 OPA1 SLC25A4
GO:0000054	ribosomal subunit export from nucleus	RAN RPS15 XPO1
GO:0000055	ribosomal large subunit export from nucleus	RAN XPO1
GO:0000056	ribosomal small subunit export from nucleus	RAN RPS15 XPO1
GO:0000060	protein import into nucleus, translocation	KPNB1 NUTF2 PHB2 RAN RBM22 SEC61B TNPO1
GO:0000062	fatty-acyl-CoA binding	ACBD3 ACOT7 ALDH6A1 DBI ECI2 GCDH HADHA SCP2
GO:0000070	mitotic sister chromatid segregation	BUB3 KIFC1 RAN SMC1A SMC4 ZNF207 ZW10
GO:0000075	cell cycle checkpoint	BCL2L1 CDK1 CDK5RAP3 GIGYF2 IK MAPK14 MDC1 NAE1 NSUN2 PEA15 PRCC PSMG2 RPA2 RPS27L RPS6 SYF2 TIPRL TPR TRIP13 VPS4A ZNF207 ZW10
GO:0000076	DNA replication checkpoint	NAE1
GO:0000077	DNA damage checkpoint	CDK1 CDK5RAP3 GIGYF2 MAPK14 MDC1 PEA15 RPA2 RPS27L SYF2 TIPRL
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	BCCIP CASP3 CDC37 CDK5RAP3 GTPBP4 IPO5 IPO7 PSMD10 SFN
GO:0000082	G1/S transition of mitotic cell cycle	CRLF3 CUL1 CUL2 CUL3 EIF4E GSPT1 ITGB1 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 NASP POLE3 PPAT PPP6C RCC1 RPA1 RPA2 RPA3 RPS6
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	DHFR PCNA RRM2
GO:0000086	G2/M transition of mitotic cell cycle	ACTR1A AKAP9 ARPP19 CCNA2 CDK1 CKAP5 CLASP1 CUL1 DCTN2 DCTN3 DNM2 DYNC1H1 DYNC1I2 DYNLL1 ENSA HSP90AA1 KHDRBS1 LCMT1 MAPRE1 OPTN PAFAH1B1 PCM1 PPME1 PPP1CB PPP1R12A PPP2R1A PPP2R2A RAB8A RPS27A SKP1 SSNA1 TUBA4A TUBB YWHAE YWHAG
GO:0000096	sulfur amino acid metabolic process	ADI1 ADO AHCY APIP ENOPH1 MPST MTAP MTHFD1 NFS1 SMS
GO:0000097	sulfur amino acid biosynthetic process	ADI1 AHCY APIP ENOPH1 MTAP MTHFD1
GO:0000098	sulfur amino acid catabolic process	ADO
GO:0000099	sulfur amino acid transmembrane transporter activity	SLC1A4
GO:0000101	sulfur amino acid transport	SLC1A4
GO:0000103	sulfate assimilation	PAPSS1
GO:0000104	succinate dehydrogenase activity	SDHA SDHB
GO:0000105	histidine biosynthetic process	MTHFD1
GO:0000109	nucleotide-excision repair complex	POLD1 RAD23B XRCC1
GO:0000118	histone deacetylase complex	CBX5 GATAD2A HDAC7 HINT1 MBD2 RBBP4 RBBP7 SAP18 SIN3A
GO:0000121	glycerol-1-phosphatase activity	PGP
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ARID1A C1QBP CALR CBX5 CDC73 CGGBP1 CHCHD3 CNBP CNOT1 CNOT7 COPS2 CTBP1 CTCF CUL3 DDX20 DDX5 DNAJA3 DNAJB1 DNMT1 DR1 DRAP1 ENO1 ETV6 EZR FOXO3 GABPA HCFC1 HCLS1 HDAC7 HDGF HNRNPA2B1 HNRNPU HSBP1 HSF1 IFI16 IGBP1 LRRFIP1 LYAR MEPCE MTDH NFKB1 NOC2L PAF1 PARP1 PAWR PHB PHF6 PPID PPM1A PSMD10 PURB RBBP7 RELA RPL23 RPS14 RPS27A RTF1 SFPQ SIN3A SMARCA2 SMARCA4 SNW1 SP3 SQSTM1 STAT1 STAT3 STRAP SUMO1 SUPT4H1 SUPT5H SUZ12 TBL1XR1 TCERG1 TCF25 TPR TRIM28 TXN UBE2I UHRF1 WFS1 XPO1 YBX1
GO:0000123	histone acetyltransferase complex	ACTB ACTL6A DR1 ENY2 HCFC1 OGT POLE3 RUVBL1 RUVBL2 WDR5
GO:0000124	SAGA complex	ENY2
GO:0000127	transcription factor TFIIIC complex	GTF3C3 GTF3C5
GO:0000132	establishment of mitotic spindle orientation	ARHGEF2 NUMA1 PAFAH1B1 ZW10
GO:0000137	Golgi cis cisterna	GOLGA2
GO:0000139	Golgi membrane	ABCB6 ACBD3 ADAM10 AGTRAP AP1B1 AP1G1 AP1M1 AP3D1 APOO ARCN1 ARFGAP2 ARFGAP3 ARFGEF2 ARFIP1 ARL3 ATP2C1 B2M B4GALT3 BCAP31 BSG CD59 CD74 CDC42 CLTA CLTC COPA COPB1 COPB2 COPE COPG1 COPG2 COPZ1 CTSC CUL3 CYTH1 DBNL DNM1L DNM2 ERC1 ERGIC1 GALNT2 GBF1 GBP1 GLIPR2 GOLGA2 GOLGB1 GOLIM4 GOLPH3 GOLPH3L GOLT1B GORASP2 GOSR1 IGF2R LMAN1 LMAN2 LPCAT1 M6PR MAN2A1 MGAT1 MIA3 MYO18A NAPA NOSIP NSF NUCB1 NUMA1 OPTN OSBP PDCD10 PDCD6 PITPNB PPP6C PPP6R1 PPP6R3 PREB PTGES2 RAB14 RAB1A RAB21 RAB2A RAB6A RAB8A SACM1L SAR1A SCAMP2 SCARB2 SCFD1 SEC13 SEC16A SEC22B SEC23A SEC23B SEC23IP SEC24C SEC24D SEC31A SH3GLB1 SNAP29 SNAPIN ST3GAL1 ST6GAL1 STX12 STX5 SURF4 SVIP TAPBP TFG TMCO1 TMED10 TMED9 TRAPPC5 UNC93B1 USO1 VAC14 VAPA VAPB VPS45 YKT6
GO:0000145	exocyst	EXOC8
GO:0000146	microfilament motor activity	MYH10 MYH9 MYO1C MYO1D MYO5A MYO6
GO:0000149	SNARE binding	GOLGA2 NAPA NSF RAB4A RNF40 SCFD1 SEC22B SEC24C SEC24D SNAP23 SNAPIN STX17 STX7 STXBP2 STXBP3 TMED10 TMED9 TXLNA TXLNG VAMP2 VPS18
GO:0000151	ubiquitin ligase complex	ARIH1 ATG3 CACYBP CAND1 CUL1 CUL2 CUL3 DCUN1D1 DDA1 DDB1 GLMN OS9 PHC3 RBX1 RING1 RNF20 RNF40 SEL1L SKP1 SUGT1 UBE2E1 UBE2L3 USP47
GO:0000152	nuclear ubiquitin ligase complex	PHC3 RING1
GO:0000153	cytoplasmic ubiquitin ligase complex	ATG3 CUL2 OS9 RBX1 SEL1L
GO:0000154	rRNA modification	DIMT1 DKC1 GAR1 NAT10 NHP2 NOP10 TFB2M THUMPD1 TRMT112
GO:0000159	protein phosphatase type 2A complex	CYCS PPP2R1A PPP2R2A
GO:0000160	phosphorelay signal transduction system	MMS19
GO:0000164	protein phosphatase type 1 complex	PPP1CB
GO:0000165	MAPK cascade	AKAP9 CCL3 CRKL CUL1 CUL3 GPS1 GRB2 HSF1 JAK1 LAMTOR2 LAMTOR3 MAP2K1 MAP2K2 MAP2K3 MAPK1 MAPK14 MAPK3 NFKB1 PABPN1 PEA15 PEBP1 PPP5C PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTK2B RAF1 RASA1 RASA2 RASAL3 RBX1 RPS27A SHC1 SKP1 STK24 TAB1 YWHAB YWHAE
GO:0000166	nucleotide binding	AAK1 AARS2 ABCB6 ABCB8 ABCF1 ABCF3 ACAD9 ACADM ACADVL ACLY ACSL3 ACSL4 ACSS1 ACTB ACTG1 ACTR1A ACTR1B ACTR2 ACTR3 ADK AFG3L2 AGK AGPS AHCY AK2 AK3 AK4 ALDH18A1 ALDH1B1 ANXA6 APRT ARL3 ARL8A ARL8B ASNS ATAD1 ATAD2 ATAD3A ATL3 ATP13A1 ATP1A1 ATP2A2 ATP2A3 ATP2C1 ATP6V1A ATP6V1B2 BAG2 BAZ1B BMS1 CAD CAMK1D CAT CBR3 CCT2 CCT3 CCT4 CCT5 CCT6A CCT7 CCT8 CDC42 CDK1 CDK5 CHORDC1 CHTOP CLPB CLPX CMPK1 CNP COASY CSK CSNK2A1 CTBP1 CYB5R3 DARS2 DCK DCTPP1 DDX1 DDX10 DDX17 DDX18 DDX20 DDX21 DDX23 DDX24 DDX27 DDX41 DDX42 DDX46 DDX47 DDX49 DDX5 DDX52 DDX54 DDX56 DDX6 DECR1 DHFR DHX15 DHX29 DHX30 DHX36 DHX38 DHX9 DLD DNAJA1 DNAJA2 DNAJA3 DNM1L DNM2 DNMT1 DRG1 DTYMK DUS1L DUT DYNC1H1 DYNC1LI1 EARS2 EEF1A1 EEF2 EEFSEC EFTUD2 EHD1 EHD4 EIF2AK2 EIF2S3 EIF4A1 EIF4A2 EIF4A3 EIF4G1 EIF5 EIF5B ERH EXOSC10 FAM114A2 FARSA FARSB FASN FKBP4 FLAD1 G3BP1 G6PD GALK1 GAPDH GART GBP1 GCDH GFM1 GLYR1 GMPPB GMPS GNA13 GNAI2 GNAI3 GNAS GNL1 GNL2 GNL3 GRHPR GRK6 GSPT1 GSR GSS GTF2F2 GTPBP1 GTPBP4 GUK1 HADH HADHA HBS1L HDGF HIBADH HINT1 HINT2 HNRNPU HPRT1 HSD17B8 HSP90AA1 HSP90AB1 HSP90B1 HSPA14 HSPA4 HSPA4L HSPA5 HSPA8 HSPA9 HSPD1 HSPE1 HSPH1 HYOU1 IARS2 IDE IDH1 IDH2 IDH3A IDH3B IDH3G ILF2 ILK IMPDH2 IRGQ ITPA IVD JAK1 KIF11 KIF23 KIF2A KIF5B KIFC1 KTI12 LANCL2 LDHA LDHB LIG1 LIG3 LONP1 LRWD1 MAP2K1 MAP2K2 MAP2K3 MAP4K1 MAPK1 MAPK14 MAPK3 MAT2A MBD1 MBD2 MCCC1 MCCC2 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MDH1 ME2 MICAL1 MKI67 MRPL39 MTHFD1 MTHFD1L MYH10 MYH9 MYO18A MYO1C MYO1D MYO5A MYO6 NAGK NAT10 NDUFA13 NDUFS2 NDUFV1 NEK7 NME1 NNT NOL9 NOLC1 NRBP1 NSF NUBP1 NUBP2 OLA1 OPA1 OXSR1 PAICS PAK1 PAK2 PAPSS1 PARP1 PBK PDK1 PDS5B PDXK PEBP1 PFAS PFKL PFKM PFN1 PGK1 PHGDH PMVK PNKP PNPO POLD1 POLR2D POR PPOX PPP5C PRKAR1A PRKAR2A PRKCA PRKD2 PRKD3 PRKDC PRMT1 PRMT5 PRPF4B PRPS2 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PTK2B QDPR RAB11B RAB14 RAB18 RAB1A RAB21 RAB24 RAB27A RAB2A RAB4A RAB5A RAB5C RAB6A RAB7A RAB8A RABL3 RAC2 RAF1 RAN RECQL RFC2 RFC4 RHOB RHOG RNGTT RRM1 RUNX2 RUVBL1 RUVBL2 SAMHD1 SAR1A SCYL1 SDHA SEPHS1 SLK SMARCA2 SMARCA4 SMARCA5 SMC1A SMC2 SMC3 SMC4 SMCHD1 SNRNP200 SORD SPATA5 SRP54 SRPK2 SRPRB STK10 STK24 STK38L STK39 STK4 SUCLA2 SUCLG1 SUCLG2 SUPV3L1 SYK TAP1 TAP2 TARS2 TBK1 TCP1 THRAP3 TIMM44 TK1 TOP1 TOP2A TOP2B TRAP1 TRIP13 TTLL12 TUBA1B TUBA1C TUBA4A TUBB TUFM TWF1 TWF2 TXNRD1 UBA1 UBA2 UBA3 UBA5 UBA6 UBE2E1 UBE2G1 UBE2G2 UBE2I UBE2J1 UBE2K UBE2L3 UBE2M UBE2O UCK2 UGP2 UHRF1 UPF1 VCP VDAC2 VDAC3 VPS4A VPS4B VRK1 XRCC5 XRCC6 YME1L1 YTHDC2 ZBTB38
GO:0000175	3'-5'-exoribonuclease activity	CNOT7 EXOSC10 EXOSC2 EXOSC3 EXOSC4 ISG20 PARN PDE12 PNPT1 XRN2
GO:0000176	nuclear exosome (RNase complex)	EXOSC10 EXOSC3
GO:0000177	cytoplasmic exosome (RNase complex)	EXOSC3 GTPBP1 PNPT1 SUPV3L1
GO:0000178	exosome (RNase complex)	EXOSC10 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC8 GTPBP1 PNPT1 SUPV3L1
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	DIMT1
GO:0000183	chromatin silencing at rDNA	MBD2 RRP8 SMARCA5
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	EIF3E EIF4A3 EIF4G1 ETF1 EXOSC10 GSPT1 NCBP1 NCBP2 PARN PPP2R1A PPP2R2A RBM8A RNPS1 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL37 RPL37A RPL38 RPL4 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS7 RPS8 RPS9 UPF1 UPF3B
GO:0000185	activation of MAPKKK activity	MAP4K1 STK24 TAB1
GO:0000186	activation of MAPKK activity	CRKL EIF2AK2 GNAI2 KIDINS220 LAMTOR2 LAMTOR3 PLCG1 RAF1
GO:0000187	activation of MAPK activity	CD74 CDK1 DBNL ERP29 MAP2K1 MAP2K2 MAP2K3 MAP4K1 MAPK1 MAPK14 MAPK3 PEA15 PTPN1 RPS27A SHC1 SOD1 STK39 SYK TAB1
GO:0000188	inactivation of MAPK activity	GPS1 PPP2R1A
GO:0000189	MAPK import into nucleus	TPR
GO:0000209	protein polyubiquitination	CBFB CBL CUL1 CUL3 HUWE1 LNPEP NPEPPS PRPF19 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 RBBP6 RBX1 RNF114 RNF126 RNF20 RPS27A SKP1 THOP1 TPP2 UBE2E1 UBE2G1 UBE2G2 UBE2K UBE2L3 UBE2O UBE2V2
GO:0000212	meiotic spindle organization	GOLGA2 MYH9
GO:0000217	DNA secondary structure binding	HMGB2 HMGB3
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	ATP6V0A1
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	ATP6V1H
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	NGLY1
GO:0000226	microtubule cytoskeleton organization	AKAP9 ARHGEF2 BCCIP BICD2 BUB3 CDK1 CDK5 CHAMP1 CIB1 CKAP5 CLASP1 CNP DYNC1H1 EZR FLNA GAPDH GOLGA2 HOOK3 KIF11 KIF2A KIFC1 KPNB1 LMNA MAP4 MYH9 NEK7 NUMA1 PAFAH1B1 PCM1 RAN RCC1 RPS3 SBDS SLK SON SPC25 SS18 STMN1 TUBA1B TUBB ZNF207 ZW10
GO:0000228	nuclear chromosome	CHMP1A HNRNPU LRPPRC PBRM1 RCC1 RRS1 SMARCE1 SMC1A SMC2 SMCHD1 TERF2IP
GO:0000235	astral microtubule	NUMA1 PAFAH1B1
GO:0000242	pericentriolar material	HOOK3 PCM1 TCP1
GO:0000244	spliceosomal tri-snRNP complex assembly	CD2BP2 DDX20 PRPF19 PRPF3 PRPF31 PRPF6 PRPF8 SART3
GO:0000245	spliceosomal complex assembly	DDX1 NCBP1 PRPF19 PRPF6 SCAF11 SF1 SNRPD1 SNRPD2 SNRPE SNRPG SRPK2
GO:0000247	C-8 sterol isomerase activity	EBP
GO:0000250	lanosterol synthase activity	LSS
GO:0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	NSDHL
GO:0000253	3-keto sterol reductase activity	CBR3
GO:0000266	mitochondrial fission	ATG3 BAX DNM1L OPA1 VPS35
GO:0000268	peroxisome targeting sequence binding	PEX19
GO:0000271	polysaccharide biosynthetic process	GBE1 GYG1 GYS1 PGM1 PGM2 RPS27A UGP2
GO:0000272	polysaccharide catabolic process	GYG1 PFKM PGM1 PGM2
GO:0000278	mitotic cell cycle	AKAP8 ARPP19 CDC5L CIB1 CLTC DCTN2 DCTN3 EML4 ENSA IK KIF11 NOLC1 PBK PBRM1 PPP1R12A PPP5C PTPN6 RAN RRM1 SMC3 SUGT1 UBA3
GO:0000280	nuclear division	CKS2 HSF1 PPP2R1A PRKAR1A PSMD13 TRIP13
GO:0000281	mitotic cytokinesis	ARL3 CFL1 CHMP4B INCENP KIF23 MYH10 PDCD6IP RASA1 RHOB SON STAMBP STMN1
GO:0000287	magnesium ion binding	CLYBL COMT DCTPP1 ENO1 ENO2 ENOPH1 FARSB GSS HPRT1 IDH1 IDH2 IDH3A IDH3B IDH3G ILVBL IMPA1 MTHFD2 NME1 NUDT5 OPA1 OXSR1 PDCD6 PDXK PGM1 PGM2 PGP PPA1 PPA2 PPM1A PRPS2 PRPSAP1 PRPSAP2 RAN SRPK2 STK38L STK4 TDP2 TOP2A UBA2
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	DCPS PDE12
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	CNOT1 CNOT3 CNOT7 EIF4A1 EIF4A2 EIF4A3 EIF4B EIF4E EIF4G1 PARN
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	CNOT7 PATL1
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	CNOT7 DCPS DDX6 EDC4 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC8 HBS1L LSM1 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 PATL1 TTC37 WDR61
GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	UPF1
GO:0000295	adenine nucleotide transmembrane transporter activity	SLC25A6
GO:0000301	retrograde transport, vesicle recycling within Golgi	BICD2 OPTN RAB6A
GO:0000302	response to reactive oxygen species	ADA APEX1 BAK1 CASP3 CAT CCNA2 CDK1 DNM2 EEF2 GSTP1 HNRNPD HSF1 KPNA4 LDHA MAPK1 MAPK3 PARK7 PCNA PDCD10 PPIF PPP5C PRDX3 PRDX5 PTK2B RELA RHOB RPS3 SDC1 SOD1 STAT1 STK24 TRA2B
GO:0000303	response to superoxide	SOD1
GO:0000305	response to oxygen radical	SOD1
GO:0000306	extrinsic component of vacuolar membrane	RAB7A
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	BCCIP CCNA2 CDK1
GO:0000313	organellar ribosome	CHCHD1 GADD45GIP1 MRPL11 MRPL13 MRPL18 MRPL28 MRPL32 MRPL34 MRPL37 MRPL39 MRPL40 MRPL43 MRPL49 MRPL51 MRPL9 MRPS12 MRPS14 MRPS22
GO:0000314	organellar small ribosomal subunit	MRPS11 MRPS12 MRPS14 MRPS15 MRPS16 MRPS18A MRPS18B MRPS18C MRPS2 MRPS22 MRPS26 MRPS27 MRPS28 MRPS31 MRPS33 MRPS34 MRPS35 MRPS36 MRPS5 MRPS6 MRPS7 MRPS9
GO:0000315	organellar large ribosomal subunit	MRPL11 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL21 MRPL22 MRPL23 MRPL24 MRPL27 MRPL28 MRPL3 MRPL32 MRPL34 MRPL37 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL49 MRPL50 MRPL51 MRPL53 MRPL54 MRPL55 MRPL9
GO:0000322	storage vacuole	ARHGEF7 CDC42
GO:0000323	lytic vacuole	ACP2 ADA AGA AKR1B1 ANXA11 AP3M1 CAPN1 CAPN2 CAT CBL CHID1 CLTC CTSA CTSB CTSC CTSD CTSS DNASE2 FTL GLA GOT1 GRN HEXB HGS HPSE LAMP1 LAMTOR1 LGMN LRBA NEU1 NPC2 PPT1 PSAP RAB14 RAB27A RAB7A SNAP23 SNX1 SNX2 SOD1 SQSTM1 STX7 STXBP2 TIAL1 TPP1 TRIP10 UNC93B1 USP5 VPS16 VPS18 VPS35 VPS4A
GO:0000338	protein deneddylation	COPS2 COPS3 COPS4 COPS5 COPS6 COPS7A COPS7B COPS8 GPS1
GO:0000339	RNA cap binding	DCPS EIF3D EIF4A1 EIF4E GEMIN5 LARP1 NCBP1 NCBP2
GO:0000340	RNA 7-methylguanosine cap binding	DCPS EIF4E GEMIN5 NCBP1 NCBP2
GO:0000346	transcription export complex	CHTOP THOC2 THOC3 THOC5 THOC7
GO:0000347	THO complex	THOC2 THOC3 THOC5 THOC7
GO:0000354	cis assembly of pre-catalytic spliceosome	DDX23 SNRNP200
GO:0000375	RNA splicing, via transesterification reactions	BCAS2 BUD31 CCAR1 CD2BP2 CDC5L CHERP CPSF1 CPSF2 CPSF3 CPSF7 CSTF1 CSTF2 CSTF2T CSTF3 CTNNBL1 CWC15 CWC27 DCPS DDX17 DDX23 DDX41 DDX42 DDX46 DDX5 DHX15 DHX38 DHX9 DNAJC8 EFTUD2 EIF4A3 ELAVL1 FIP1L1 FUS GEMIN5 GPKOW GTF2F2 HNRNPA0 HNRNPA2B1 HNRNPA3 HNRNPC HNRNPD HNRNPF HNRNPH1 HNRNPH2 HNRNPH3 HNRNPK HNRNPL HNRNPM HNRNPR HNRNPU HNRNPUL1 HSPA8 KHSRP LSM1 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 MPHOSPH10 NCBP1 NCBP2 NUDT21 PABPN1 PCBP1 PHF5A PLRG1 PNN POLR2A POLR2B POLR2C POLR2D POLR2E POLR2I PPIE PPIH PPIL1 PPIL3 PQBP1 PRCC PRPF19 PRPF3 PRPF31 PRPF38A PRPF4 PRPF40A PRPF4B PRPF6 PRPF8 PTBP1 PUF60 RALY RBM17 RBM22 RBM8A RNPS1 SART1 SART3 SCAF11 SF1 SF3A1 SF3A2 SF3A3 SF3B1 SF3B2 SF3B3 SF3B4 SF3B5 SFPQ SNRNP200 SNRNP40 SNRNP70 SNRPA SNRPA1 SNRPB2 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNW1 SRRM1 SRRM2 SRRT SRSF1 SRSF3 SRSF4 SRSF5 SRSF6 SRSF7 SRSF9 SYF2 SYMPK SYNCRIP TFIP11 TRA2A TRA2B U2AF2 U2SURP UPF3B WBP11 WDR33 XAB2 YBX1
